ds,yhat_rounded,occupancy_rate_rounded,yhat_lower,yhat_upper
2023-12-07,0.13,1.62,0.0,1.4768756451780398
2023-12-08,0.61,7.62,0.0,2.0055112072373142
2023-12-09,6.12,76.53,3.3560040178628263,8.0
2023-12-10,0.85,10.56,0.0,2.210396093879251
2023-12-11,0.0,0.0,0.0,1.2116613895405675
2023-12-12,0.77,9.6,0.0,2.1137730303261635
2023-12-13,1.01,12.63,0.0,2.409381409137747
2023-12-14,1.64,20.54,0.07127017246600136,3.097441312649654
2023-12-15,2.51,31.35,0.8579113546758681,4.317917641855742
2023-12-16,8.0,100.0,4.708968477446601,8.0
2023-12-17,3.53,44.07,1.5728074959830336,5.710880956661793
2023-12-18,2.68,33.45,0.9094759997390862,4.580010458606
2023-12-19,3.82,47.7,1.8131486882494372,6.052662913766352
2023-12-20,4.22,52.69,1.9993049699052678,6.518691806389844
2023-12-21,4.94,61.79,2.3896177007641577,7.543352702297655
2023-12-22,5.84,72.98,3.0588056534116244,8.0
2023-12-23,8.0,100.0,7.239900036680337,8.0
2023-12-24,6.69,83.63,3.4243527749018927,8.0
2023-12-25,5.63,70.43,2.925463354163284,8.0
2023-12-26,6.53,81.63,3.4816829066593806,8.0
2023-12-27,6.62,82.69,3.5620812749043114,8.0
2023-12-28,6.98,87.27,3.716864218879082,8.0
2023-12-29,8.0,100.0,5.199262046797875,8.0
2023-12-30,8.0,100.0,7.490238934678095,8.0
2023-12-31,8.0,100.0,5.020713900580616,8.0
